1       3       34.19
1       4       46.85
1       5       44.77
1       6       23.79
1       7       19.76
1       8       18.68
1       9       18.20

2       3       67.94
2       4       71.47
2       5       68.11
2       6       46.49
2       7       48.49
2       8       63.25

3       1       38.95
3       2       73.75
3       3       88.44
3       4       93.95
3       5       106.47
3       6       114.61
3       7       128.62

4       1       75.98
4       2       106.77
4       3       111.02
4       4       156.12
4       5       164.29
4       6       166.42

5       1       103.11
5       2       109.16
5       3       118.8
5       4       119.08
5       5       118.76

6       1       73.44
6       2       117.70
6       3       119.16
6       4       119.12

7       1       117.68
7       2       119.13
7       3       119.13
8       1       118.45
8       2       119.14
9       1       117.98
