K1 with 1D blocks,,,,,
X-size,Y-size,Time,Gflops,,
4,128,"2,855","48,139732",,
4,128,"2,854231","48,152702",,
4,128,"2,795095","49,171467",,
,,,,,
4,64,"2,953559","46,533344","2,9566771","46,4851544"
4,64,"2,964491","46,361736",,
4,64,"2,959169","46,445126",,
4,64,"2,927682","46,944637",,
4,64,"2,970729","46,264389",,
4,64,"2,952873","46,54414",,
4,64,"2,953897","46,528019",,
4,64,"2,952022","46,55756",,
4,64,"2,979095","46,134457",,
4,64,"2,953254","46,538136",,
,,,,,
4,32,"2,014542","68,223412","2,0178146","68,1132332"
4,32,"2,016654","68,151978",,
4,32,"2,018486","68,090141",,
4,32,"2,014557","68,2229",,
4,32,"2,031867","67,641701",,
4,32,"2,020841","68,010765",,
4,32,"2,012127","68,305305",,
4,32,"2,01488","68,211975",,
4,32,"2,015633","68,186501",,
4,32,"2,018559","68,087654",,
,,,,,
4,16,"1,910656","71,932861","1,9231116","71,471443"
4,16,"1,938691","70,892654",,
4,16,"1,907131","72,065826",,
4,16,"1,937806","70,925034",,
4,16,"1,933673","71,076637",,
4,16,"1,937493","70,936485",,
4,16,"1,906415","72,092865",,
4,16,"1,911438","71,903412",,
4,16,"1,942781","70,743423",,
4,16,"1,905032","72,145233",,
,,,,,
4,8,"2,023328","67,927177","2,0229231","67,9407745"
4,8,"2,023347","67,926521",,
4,8,"2,022828","67,943954",,
4,8,"2,023658","67,916092",,
4,8,"2,022586","67,952095",,
4,8,"2,022459","67,956375",,
4,8,"2,022167","67,966179",,
4,8,"2,02234","67,960358",,
4,8,"2,023237","67,930222",,
4,8,"2,023281","67,928772",,
,,,,,
8,128,"1,068613","128,614395","1,0685601","128,6207625"
8,128,"1,069218","128,541534",,
8,128,"1,069639","128,490936",,
8,128,"1,067588","128,737854",,
8,128,"1,069407","128,518875",,
8,128,"1,067134","128,792526",,
8,128,"1,068788","128,593246",,
8,128,"1,068993","128,568558",,
8,128,"1,068222","128,661362",,
8,128,"1,067999","128,688339",,
,,,,,
8,64,"1,194718","115,038803","1,1991576","114,6137344"
8,64,"1,203898","114,161659",,
8,64,"1,198163","114,708038",,
8,64,"1,200959","114,440994",,
8,64,"1,194529","115,057045",,
8,64,"1,199219","114,607018",,
8,64,"1,198397","114,685684",,
8,64,"1,204365","114,117371",,
8,64,"1,196745","114,843933",,
8,64,"1,200583","114,476799",,
,,,,,
8,32,"1,290525","106,498505","1,2909148","106,4665215"
8,32,"1,288198","106,690903",,
8,32,"1,290417","106,507431",,
8,32,"1,2893","106,599663",,
8,32,"1,290697","106,484314",,
8,32,"1,290272","106,519325",,
8,32,"1,291507","106,417549",,
8,32,"1,29084","106,472488",,
8,32,"1,294863","106,141663",,
8,32,"1,292529","106,333374",,
,,,,,
8,16,"1,461218","94,057785","1,4628973","93,9502663"
8,16,"1,461085","94,066345",,
8,16,"1,4704","93,470428",,
8,16,"1,46312","93,935501",,
8,16,"1,463708","93,897812",,
8,16,"1,45997","94,138237",,
8,16,"1,459057","94,197136",,
8,16,"1,464897","93,821587",,
8,16,"1,464812","93,827042",,
8,16,"1,460706","94,09079",,
,,,,,
8,8,"1,532794","89,665634","1,5542349","88,4386131"
8,8,"1,533471","89,626038",,
8,8,"1,566918","87,712914",,
